id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
10970,Silent Movie,Comedy,en,"Aspiring filmmakers Mel Funn, Marty Eggs and Dom Bell go to a financially troubled studio with an idea for a silent movie. In an effort to make the movie more marketable, they attempt to recruit a number of big name stars to appear, while the studio's creditors attempt to thwart them.",7.313,1976-06-17,6.6,229
140212,Confession of Murder,"Action,Thriller",ko,"A serial killer reappears 15 years after his murder spree with a book detailing his crimes. The resentful cop who failed to catch him before is assigned to protect him. The families of the victims plan revenge. And as the media circus spirals out of control, a masked man called ""J"" appears claiming to be the real killer.",10.189,2012-11-08,7.3,229
2469,Tie Me Up! Tie Me Down!,"Comedy,Crime,Drama,Romance",es,"Recently released from a mental hospital, Ricky ties up Marina, a film star he once had sex with and keeps her hostage.",8.872,1990-01-22,6.9,478
120467,The Grand Budapest Hotel,"Comedy,Drama",en,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",24.37,2014-02-26,8.1,12464
12509,Pollock,"Drama,Romance",en,"In August of 1949, Life Magazine ran a banner headline that begged the question: ""Jackson Pollock: Is he the greatest living painter in the United States?"" The film is a look back into the life of an extraordinary man, a man who has fittingly been called ""an artist dedicated to concealment, a celebrity who nobody knew."" As he struggled with self-doubt, engaging in a lonely tug-of-war between needing to express himself and wanting to shut the world out, Pollock began a downward spiral.",5.194,2000-09-06,6.7,243
244563,"Kumiko, the Treasure Hunter",Drama,en,"Frustrated with her mundane life, a Tokyo office worker becomes obsessed with a fictional movie that she mistakes for a documentary. Fixating on a scene where stolen cash is buried in North Dakota, she travels to America to find it.",4.789,2014-11-13,6.6,218
5375,Fred Claus,"Action,Comedy,Drama",en,"Fred Claus and Santa Claus have been estranged brothers for many years. Now Fred must reconcile his differences with his brother whom he believes overshadows him. When an efficiency expert assesses the workings at the North Pole and threatens to shut Santa down, Fred must help his brother to save Christmas.",12.247,2007-11-03,5.8,699
64690,Drive,"Drama,Thriller,Crime",en,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",62.517,2011-09-15,7.6,10528
475220,In Fabric,"Horror,Fantasy,Comedy",en,"A haunting ghost story set against the backdrop of a busy winter sales period in a department store, following the life of a cursed dress as it passes from person to person, with devastating consequences.",19.203,2018-12-06,5.6,202
2786,Pierrot le Fou,"Drama,Thriller",fr,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.",11.442,1965-08-29,7.5,661
